contest,year,team,rank,teammate1,teammate2
NCPC,2023,IUT_Songkolpo,72,Mir Sayad,Sakib Ayan
IUT IUPC,2024,IUT_Random,28,Saom,Imtiyaz
ICPC,2024,IUT_notBlue,102,Satty,Akib
KUET IUPC,2025,IUT_TeamZero,33,MushfiqTalha,Mishkat
UIU IUPC,2025,IUT_9413,48,Satty,Adib
AUST IUPC,2025,IUT_Blue,19,MushfiqTalha,Satty
UU IUPC,2025,IUT_DilamNaNaam,39,Rakhi,Galeeb
ICPC,2025,,,Satty,Galeeb
BUET IUPC,2026,,,Satty,Auvro
NDUB IUPC,2026,,,Auvro,Galeeb
NSU IUPC,2026,,,Rakhi,Dhrubo
DUET IUPC,2026,,,Satty,Rakhi
SUST IUPC,2026,,,Rakhi,Dhrubo
IUT IUPC,2026,,,,
